Link,Title,Location,Salary,Summary
https://www.indeed.com/viewjob?jk=b5558398cd30c3dd,Core Development Program,"InterSystems 3.9 Cambridge, MA 02142 (MIT area)",,"With three distinct product lines, CDP hires complete projects within our IRIS, HealthShare and/or TrakCare Development teams."
https://www.indeed.com/viewjob?jk=160880894f5551cf,"Fixed Income Trader, Associate","BlackRock 3.8 Princeton, NJ 08540",,The candidate will trade bonds across rates and credit products with an emphasis on growing the electronic trading infrastructure to maximize scale and…
https://www.indeed.com/viewjob?jk=ece18b326e655971,Python Backend Product Engineer- McD Tech Labs,"McDonald's Corporate 3.5 Mountain View, CA",,We are currently looking for talented Python Product Backend Engineers to work on the transformative in-store AI Drive Through Voice Agent product.
https://www.indeed.com/viewjob?jk=5b2999ff5330765b,Remote Job: Snowflake Architect,"Learnship Networks GmbH 3.2 San Francisco, CA 94110 (Mission area) • Remote",,"Key skills – Data warehouse migration to Snowflake, Python, Spark, Airflow, AWS – ETL experience, Building well-architected data models."
https://www.indeed.com/viewjob?jk=27379a785fead51f,Masters/PhD New College Grad - Technology - Multiple Locatio...,"Visa 3.9 Austin, TX",,"Network Processing: This is the team behind VisaNet, the payments network that connects consumers and merchants with financial institutions."
https://www.indeed.com/viewjob?jk=d62fe037bc3b554d,Machine Learning Engineer I,"Edwards Lifesciences 4.0 Irvine, CA",,"The Machine Learning Engineer will be responsible for applying machine learning, time series models, physiological signal processing, and human physiology to…"
https://www.indeed.com/viewjob?jk=52fa37d30779027a,Data Engineer- Spark/Scala/Python,"Cognizant Technology Solutions 3.9 Chicago, IL 60601 (Loop area) +1 location",,Data Engineer – Full – Time *This role is not able to offer visa transfer or sponsorship now or in the future*.
https://www.indeed.com/viewjob?jk=968e653bd0863eb2,Data Science Intern,"Capax Global LLC Chicago, IL • Remote",,"Our Data Science Internship program is a 2.5month intensive data science and machine learning team-based intensive. Knowledge of databases, data modeling."
https://www.indeed.com/viewjob?jk=090c4269df2206ad,Odoo Developers,"Confianz Global Charlotte, NC 28202 (Downtown Charlotte area)",,Good knowledge of python and OOPS concepts. Good knowledge of PostgreSQL with ability to write SQL queries. Worked on OpenERP/Odoo version 11 or above.
https://www.indeed.com/viewjob?jk=180a51e476fb7f4f,"Software Engineering Internship, Summer 2021","Etsy 4.3 Brooklyn, NY 11201",,You'll also be able to use Etsy's Continuous Deployment architecture to push code to production whenever you please (and you'll probably push on your first day…
https://www.indeed.com/viewjob?jk=53b6b455d535c715,Data Engineer (Python/ETL),"MJH Life Sciences? Cranbury, NJ 08512",,"This opportunity requires a combination of architecture, design, hands-on development and interworking with other teams/vendors to deliver the technology…"
https://www.indeed.com/viewjob?jk=ce2a87682717b186,"Data Scientist, Business Analytics & Forecasting","Bayer 4.2 Whippany, NJ",,Support development and deployment of analytical models in the areas of statistical consumption forecasting by brand and key retailers;
